x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
1.150000000000000000e+02,2.090819999999999831e-02,-2.095069999999999918e-02,4.185889999999999750e-02,1.219649999999999901e+00,-1.052630000000000088e+01
1.160000000000000000e+02,2.147850000000000106e-02,-1.995819999999999886e-02,4.143669999999999992e-02,1.985100000000000087e+00,-1.052630000000000088e+01
1.170000000000000000e+02,2.208159999999999984e-02,-1.858320000000000111e-02,4.066480000000000095e-02,2.749909999999999854e+00,-1.052630000000000088e+01
1.180000000000000000e+02,2.265390000000000112e-02,-1.759180000000000119e-02,4.024570000000000231e-02,1.982920000000000016e+00,-1.052630000000000088e+01
1.190000000000000000e+02,2.326670000000000127e-02,-1.698389999999999969e-02,4.025059999999999749e-02,1.215729999999999977e+00,-1.052630000000000088e+01
1.200000000000000000e+02,2.381969999999999921e-02,-1.675969999999999890e-02,4.057940000000000158e-02,4.483630000000000115e-01,1.052630000000000088e+01
1.210000000000000000e+02,2.441660000000000011e-02,-1.691890000000000061e-02,4.133549999999999724e-02,-3.183860000000000023e-01,1.052630000000000088e+01
1.220000000000000000e+02,2.498490000000000086e-02,-1.746119999999999964e-02,4.244610000000000050e-02,-1.084500000000000020e+00,1.052630000000000088e+01
1.230000000000000000e+02,2.557919999999999985e-02,-1.762060000000000015e-02,4.319979999999999654e-02,-3.189710000000000045e-01,1.052630000000000088e+01
1.240000000000000000e+02,2.614829999999999932e-02,-1.739730000000000096e-02,4.354560000000000375e-02,4.467679999999999985e-01,1.052630000000000088e+01
1.250000000000000000e+02,2.674210000000000129e-02,-1.679090000000000096e-02,4.353300000000000225e-02,1.212699999999999889e+00,-8.395609999999999573e+00
1.260000000000000000e+02,2.730969999999999925e-02,-1.580190000000000067e-02,4.311159999999999992e-02,1.978069999999999995e+00,-1.052630000000000088e+01
1.270000000000000000e+02,2.790310000000000012e-02,-1.443039999999999948e-02,4.233349999999999613e-02,2.742859999999999854e+00,-1.052630000000000088e+01
1.280000000000000000e+02,2.846699999999999925e-02,-1.336930000000000063e-02,4.183629999999999988e-02,2.122230000000000061e+00,-1.052630000000000088e+01
1.290000000000000000e+02,2.905989999999999962e-02,-1.269179999999999961e-02,4.175170000000000270e-02,1.355120000000000102e+00,-1.052630000000000088e+01
1.300000000000000000e+02,2.962230000000000071e-02,-1.239789999999999989e-02,4.202020000000000061e-02,5.878039999999999932e-01,1.052630000000000088e+01
1.310000000000000000e+02,3.021039999999999837e-02,-1.248739999999999919e-02,4.269779999999999409e-02,-1.791010000000000102e-01,1.052630000000000088e+01
1.320000000000000000e+02,3.077339999999999937e-02,-1.296010000000000044e-02,4.373350000000000154e-02,-9.454179999999999806e-01,1.052630000000000088e+01
1.330000000000000000e+02,3.136089999999999711e-02,-1.305019999999999965e-02,4.441109999999999502e-02,-1.800889999999999991e-01,1.052630000000000088e+01
1.340000000000000000e+02,3.192239999999999661e-02,-1.275740000000000034e-02,4.467979999999999868e-02,5.854460000000000219e-01,1.052630000000000088e+01
